Site,% Rock,%Seagrass,%Sandy Bottom,% Coral,% Sponge,% Rubble
South Haulover Bay,91,0,5,1,0,2
Great Lamshure Bay,82.16666667,3.5,11.33333333,0.333333333,0.833333333,0
Hawknest Bay,82.5,0,3.333333333,5.833333333,0.833333333,7.5
Maho Bay,60.83333333,0,5,5,20.83333333,8.333333333
Leinster Bay,15.83333333,20,12.5,10,4.166666667,37.5
Frank Bay,66.66666667,0,2.5,16.66666667,13.33333333,0.833333333
Chocolate Hole,80,0,0,17.5,2.5,0
Brewer's Bay East,59,0,29,11,0,0
Brewer's Bay West,68,0,32,0,0,0
Brewer's Bay Black Point,64,0,35,1,0,0
Hull Bay East,86.3333,0,9.0067,4.66,0,0
Hull Bay West,60,1,35,3,1,0
Preserverance Bay,70,0,29,1,0,0
Fortuna Bay,50,0,50,0,0,0
Green Cay,70,0,0,0,0,30
Mandahl Bay,65,0,30,4,1,0
Stumpy Bay,70,0,10,20,0,0
Lindbergh Bay East,68,10,22,0,0,0
Lindbergh Bay West,74,5,19,0,0,2
Flat Cay,54.16666667,0,2.5,5,0,38.33333333
Honeymoon Bay South,65,0,30,5,0,0
Honeymoon Bay North,67,0,31,1.5,0.5,0
Carolina Point,58,3,36,1,1,0
Elephant Bay,45,30,0,20,5,0
Fredricksted Bay,71,29,0,0,0,0
Chenay Bay East,80,1.66,0,11.66,6.66,0
"Pull Point, Chenay Bay",40,0,16.66,21.66,21.66,0
Frederiksted Pier,57,0,43,0,0,0
Rock Bay,76.66,0,10,8.33,5,0
North Hassel,76,18,0,4,1,0
