Sample No.,site,# Uninfected Cells,Average # of cells per slide,sample no. (1-30),# WBCS,,,,,,,,,,,,,,,,,,,,,
3,"6/18/18 @Lindbergh Bay West, St. Thomas (n=6)",11232,224.94,1,15,,,,,,,,,,,,,,,,,,,,,
4,"6/18/18 @Lindbergh Bay West, St. Thomas (n=6)",9347,187.2,2,14,,,,,,,,,,,,,,,,,,,,,
10,"6/30/2018 @Brewers Bay West Side, St. Thomas (n=15)",3767,75.94,3,30,,,,,,,,,,,,,,,,,,,,,
12,"6/30/2018 @Brewers Bay West Side, St. Thomas (n=15)",4694,94.42,4,27,,,,,,,,,,,,,,,,,,,,,
2,"7/19/2018 @Green Cay (Abi Beach), St Thomas (n=10)",7625,153.3,9,40,,,,,,,,,,,,,,,,,,,,,
4,"7/19/2018 @Green Cay (Abi Beach), St Thomas (n=10)",4025,80.66,10,8,,,,,,,,,,,,,,,,,,,,,
7,"7/19/2018 @Green Cay (Abi Beach), St Thomas (n=10)",2236,45.3,11,29,,,,,,,,,,,,,,,,,,,,,
6,"7/24/2018 @Perserverance Bay, St Thomas (n=18)",5610,112.9,5,33,,,,,,,,,,,,,,,,,,,,,
9,"7/24/2018 @Perserverance Bay, St Thomas (n=18)",5905,118.7,6,30,,,,,,,,,,,,,,,,,,,,,
1,"7/26/2018 @Blackpoint Brewers Bay, St Thomas (n=13)",5252,105.36,7,16,,,,,,,,,,,,,,,,,,,,,
5,"7/26/2018 @Blackpoint Brewers Bay, St Thomas (n=13)",7463,150.16,8,45,,,,,,,,,,,,,,,,,,,,,
4,"8-7-2018 @Frederiksted Bay, St Croix ",7237,145.22,12,24,,,,,,,,,,,,,,,,,,,,,
6,"8-7-2018 @Frederiksted Bay, St Croix ",2620,52.74,13,17,,,,,,,,,,,,,,,,,,,,,
8,"8-7-2018 @Frederiksted Bay, St Croix ",4931,99.24,14,31,,,,,,,,,,,,,,,,,,,,,
13,"8-7-2018 @Frederiksted Bay, St Croix ",2839,57.68,15,45,,,,,,,,,,,,,,,,,,,,,
1,"8-8-2018 Chenay Bay near Pull Point, St Croix",7927,159.14,16,30,,,,,,,,,,,,,,,,,,,,,
2,"8-8-2018 Chenay Bay near Pull Point, St Croix",3607,72.48,17,17,,,,,,,,,,,,,,,,,,,,,
1,8-9-2018 Rock Beach STX (n=13),7298,146.32,18,18,,,,,,,,,,,,,,,,,,,,,
2,8-9-2018 Rock Beach STX (n=13),5522,110.76,19,16,,,,,,,,,,,,,,,,,,,,,
6,8-9-2018 Rock Beach STX (n=13),10066,202.16,20,42,,,,,,,,,,,,,,,,,,,,,
7,8-9-2018 Rock Beach STX (n=13),9237,185.22,21,24,,,,,,,,,,,,,,,,,,,,,
11,8-9-2018 Rock Beach STX (n=13),10497,210.38,22,22,,,,,,,,,,,,,,,,,,,,,
1,8-3-2018 Black Point,5529,110.74,23,8,,,,,,,,,,,,,,,,,,,,,
3,8-3-2018 Black Point,7939,159.38,24,30,,,,,,,,,,,,,,,,,,,,,
4,8-3-2018 Black Point,4527,90.9,25,18,,,,,,,,,,,,,,,,,,,,,
5,8-3-2018 Black Point,7756,156.9,26,22,,,,,,,,,,,,,,,,,,,,,
6,8-3-2018 Black Point,8923,178.9,27,22,,,,,,,,,,,,,,,,,,,,,
9,8-3-2018 Black Point,8839,177.18,28,20,,,,,,,,,,,,,,,,,,,,,
13,"6/30/2018 @Brewers Bay West Side, St. Thomas (n=15)",6905,138.62,29,26,,,,,,,,,,,,,,,,,,,,,
15,"6/30/2018 @Brewers Bay West Side, St. Thomas (n=15)",5793,116.46,30,30,,,,,,,,,,,,,,,,,,,,,
